# Time(s) Range(km)  Vel.(km/s)
 272.074 1271.140026 -5.962911
 273.197 1264.605415 -5.949407
 274.234 1258.085500 -5.935684
 275.357 1251.581002 -5.921739
 276.480 1245.091689 -5.907566
 277.517 1238.618291 -5.893162
 278.640 1232.160824 -5.878522
 279.763 1225.719314 -5.863642
 280.886 1219.294263 -5.848518
 281.923 1212.886177 -5.833145
 283.046 1206.494861 -5.817518
 284.170 1200.121064 -5.801634
 285.206 1193.764605 -5.785486
 286.330 1187.426010 -5.769071
 287.453 1181.106037 -5.752384
 288.490 1174.804060 -5.735418
 289.613 1168.520853 -5.718169
 290.736 1162.256958 -5.700633
 291.859 1156.012233 -5.682803
 292.896 1149.787234 -5.664674
 294.019 1143.582520 -5.646241
 295.142 1137.398197 -5.627499
 296.179 1131.234610 -5.608441
 297.302 1125.091883 -5.589060
 298.426 1118.970598 -5.569353
 299.462 1112.871341 -5.549313
 300.586 1106.794034 -5.528932
 301.709 1100.739276 -5.508206
 302.832 1094.707670 -5.487129
 303.869 1088.699165 -5.465693
 304.992 1082.714816 -5.443894
 306.115 1076.754149 -5.421722
 307.152 1070.818016 -5.399171
 308.275 1064.907051 -5.376237
 309.398 1059.021247 -5.352910
 310.435 1053.161254 -5.329183
 311.558 1047.327728 -5.305052
 312.682 1041.520903 -5.280508
 313.805 1035.741024 -5.255543
 314.842 1029.988981 -5.230150
 315.965 1024.264824 -5.204322
 317.088 1018.569457 -5.178051
 318.125 1012.902950 -5.151329
 319.248 1007.266012 -5.124149
 320.371 1001.659356 -5.096503
 321.408 996.083085 -5.068383
 322.531 990.538133 -5.039782
 323.654 985.024828 -5.010690
 324.778 979.543512 -4.981099
 325.814 974.095138 -4.951003
 326.938 968.679867 -4.920391
 328.061 963.298468 -4.889257
 329.098 957.951714 -4.857592
 330.221 952.639997 -4.825387
 331.344 947.363718 -4.792633
 332.381 942.123872 -4.759323
 333.504 936.920690 -4.725448
 334.627 931.755177 -4.690999
 335.750 926.627589 -4.655968
 336.787 921.538760 -4.620345
 337.910 916.489527 -4.584125
 339.034 911.480181 -4.547296
 340.070 906.511761 -4.509852
 341.194 901.584764 -4.471783
 342.317 896.699700 -4.433081
 343.354 891.857450 -4.393737
 344.477 887.058897 -4.353745
 345.600 882.304406 -4.313095
 346.637 877.595051 -4.271780
 347.760 872.931391 -4.229793
 348.883 868.314001 -4.187123
 350.006 863.743971 -4.143766
 351.043 859.221724 -4.099711
 352.166 854.748197 -4.054954
 353.290 850.324326 -4.009488
 354.326 845.950570 -3.963304
 355.450 841.628038 -3.916398
 356.573 837.357212 -3.868761
 357.610 833.139207 -3.820391
 358.733 828.974676 -3.771279
 359.856 824.864285 -3.721420
 360.979 820.809009 -3.670810
 362.016 816.809821 -3.619446
 363.139 812.867258 -3.567320
 364.262 808.982303 -3.514431
 365.299 805.156074 -3.460779
 366.422 801.388854 -3.406354
 367.546 797.681904 -3.351160
 368.582 794.035799 -3.295191
 369.706 790.451527 -3.238447
 370.829 786.930065 -3.180930
 371.952 783.472005 -3.122637
 372.989 780.078327 -3.063569
 374.112 776.750000 -3.003731
 375.235 773.487746 -2.943122
 376.272 770.292408 -2.881745
 377.395 767.164713 -2.819602
 378.518 764.105617 -2.756698
 379.555 761.116060 -2.693042
 380.678 758.196646 -2.628634
 381.802 755.348307 -2.563483
 382.925 752.572054 -2.497601
 383.962 749.868282 -2.430988
 385.085 747.238086 -2.363659
 386.208 744.682054 -2.295619
 387.245 742.201055 -2.226883
 388.368 739.795934 -2.157464
 389.491 737.467261 -2.087370
 390.528 735.215855 -2.016617
 391.651 733.042509 -1.945222
 392.774 730.947838 -1.873198
 393.898 728.932450 -1.800559
 394.934 726.997158 -1.727327
 396.058 725.142460 -1.653515
 397.181 723.369118 -1.579148
 398.218 721.677603 -1.504239
 399.341 720.068560 -1.428813
 400.464 718.542654 -1.352896
 401.501 717.100195 -1.276499
 402.624 715.741804 -1.199652
 403.747 714.468008 -1.122381
 404.870 713.279167 -1.044705
 405.907 712.175798 -0.966655
 407.030 711.158218 -0.888252
 408.154 710.226838 -0.809524
 409.190 709.382031 -0.730502
 410.314 708.624070 -0.651211
 411.437 707.953212 -0.571676
 412.474 707.369756 -0.491931
 413.597 706.873875 -0.412000
 414.720 706.465779 -0.331915
 415.757 706.145630 -0.251709
